transaction_id,description,amount,currency,transaction_date,reference,transaction_type
BANK043,LENSKART SOLUTIONS PRIVATE LIMITED PAYMENT REF043,35000,INR,2026-08-09,REF043,CREDIT
BANK044,PHARMEASY API HOLDINGS LIMITED PAYMENT REF044,62000,INR,2026-08-10,REF044,CREDIT
BANK045,TATA DIGITAL PRIVATE LIMITED PAYMENT REF045,24000,INR,2026-08-17,REF045,CREDIT
BANK046,JIO PLATFORMS LIMITED PAYMENT REF046,150000,INR,2026-08-11,REF046,CREDIT
BANK047,AIRTEL DIGITAL LIMITED PAYMENT REF047,75000,INR,2026-08-14,REF047,CREDIT
BANK048,VODAFONE IDEA ENTERPRISE SOLUTIONS PAYMENT REF048,150000,INR,2026-08-16,REF048,CREDIT
BANK049,ITC INFOTECH INDIA LIMITED PAYMENT REF049,75000,INR,2026-08-09,REF049,CREDIT
BANK050,COGNIZANT TECHNOLOGY SOLUTIONS LTD PAYMENT REF050,75000,INR,2026-08-17,REF050,CREDIT
BANK051,ABC PRIVATE LIMITED PAYMENT REF051,12500,INR,2026-08-07,REF051,CREDIT
BANK052,RAVI ENTERPRISES PRIVATE LIMITED PAYMENT REF052,24000,INR,2026-08-14,REF052,CREDIT
BANK053,APEX GLOBAL TECHNOLOGIES PVT LTD PAYMENT REF053,150000,INR,2026-08-14,REF053,CREDIT
BANK054,ZENITH LOGISTICS SOLUTIONS LIMITED PAYMENT REF054,115000,INR,2026-08-10,REF054,CREDIT
BANK055,TATA CONSULTANCY SERVICES LIMITED PAYMENT REF055,150000,INR,2026-08-17,REF055,CREDIT
BANK056,INFOSYS BPM PRIVATE LIMITED PAYMENT REF056,48000,INR,2026-08-18,REF056,CREDIT
BANK057,RELIANCE RETAIL VENTURES LIMITED PAYMENT REF057,48000,INR,2026-08-14,REF057,CREDIT
BANK058,MAHINDRA LOGISTICS SOLUTIONS LTD PAYMENT REF058,75000,INR,2026-08-11,REF058,CREDIT
BANK059,LARSEN AND TOUBRO INFOTECH LTD PAYMENT REF059,24000,INR,2026-08-05,REF059,CREDIT
BANK060,WIPRO DIGITAL SOLUTIONS PVT LTD PAYMENT REF060,75000,INR,2026-08-04,REF060,CREDIT
BANK061,HCL TECHNOLOGIES INDIA PVT LTD PAYMENT REF061,48000,INR,2026-08-11,REF061,CREDIT
BANK062,BHARAT HEAVY ELECTRICALS LIMITED PAYMENT REF062,24000,INR,2026-08-15,REF062,CREDIT
BANK063,SUN PHARMACEUTICAL INDUSTRIES LTD PAYMENT REF063,48000,INR,2026-08-03,REF063,CREDIT
BANK064,GODREJ CONSUMER PRODUCTS LIMITED PAYMENT REF064,24000,INR,2026-08-10,REF064,CREDIT
BANK065,ADANI PORTS AND SEZ PRIVATE LIMITED PAYMENT REF065,115000,INR,2026-08-07,REF065,CREDIT
BANK066,ABC PVT LTD NEFT CR REF066,142000,INR,2026-08-20,REF066,CREDIT
BANK067,RAVI ENTERPRISE NEFT CR REF067,78000,INR,2026-08-08,REF067,CREDIT
BANK068,APEX GLOBAL TECH NEFT CR REF068,32000,INR,2026-08-05,REF068,CREDIT
BANK069,ZENITH LOGISTICS SOLN NEFT CR REF069,78000,INR,2026-08-10,REF069,CREDIT
BANK070,TCS LTD PAYMENT NEFT CR REF070,78000,INR,2026-08-19,REF070,CREDIT
BANK071,INFOSYS BPM PVT NEFT CR REF071,142000,INR,2026-08-16,REF071,CREDIT
BANK072,RELIANCE RETAIL VENT NEFT CR REF072,18000,INR,2026-08-12,REF072,CREDIT
BANK073,M&M LOGISTICS NEFT CR REF073,18000,INR,2026-08-07,REF073,CREDIT
BANK074,L&T INFOTECH NEFT CR REF074,96000,INR,2026-08-11,REF074,CREDIT
BANK075,WIPRO DIGITAL NEFT CR REF075,32000,INR,2026-08-09,REF075,CREDIT
BANK076,HCL TECH INDIA NEFT CR REF076,18000,INR,2026-08-13,REF076,CREDIT
BANK077,SUN PHARMA IND NEFT CR REF077,18000,INR,2026-08-16,REF077,CREDIT
BANK078,GODREJ CONSUMER PROD NEFT CR REF078,18000,INR,2026-08-18,REF078,CREDIT
BANK079,ADANI PORTS SEZ NEFT CR REF079,78000,INR,2026-08-12,REF079,CREDIT
BANK080,BAJAJ FINSERV DIR NEFT CR REF080,78000,INR,2026-08-18,REF080,CREDIT
BANK081,MAKEMYTRIP INDIA PRIVATE LIMITED DELAYED SETTLEMENT REF081,88000,INR,2026-09-02,REF081,CREDIT
BANK082,OLA ANI TECHNOLOGIES PRIVATE LIMITED DELAYED SETTLEMENT REF082,88000,INR,2026-09-05,REF082,CREDIT
BANK083,PAYU PAYMENTS PRIVATE LIMITED DELAYED SETTLEMENT REF083,130000,INR,2026-09-10,REF083,CREDIT
BANK084,CRED DREAMPLUG TECHNOLOGIES LTD DELAYED SETTLEMENT REF084,42000,INR,2026-08-29,REF084,CREDIT
BANK085,GROWW NEXTBILLION TECHNOLOGY LTD DELAYED SETTLEMENT REF085,130000,INR,2026-08-27,REF085,CREDIT
BANK086,ZERODHA BROKING LIMITED DELAYED SETTLEMENT REF086,68000,INR,2026-08-22,REF086,CREDIT
BANK087,BIGBASKET SUPERMARKET GROCERY LTD DELAYED SETTLEMENT REF087,88000,INR,2026-08-30,REF087,CREDIT
BANK088,BLINKIT COMMERCE PRIVATE LIMITED DELAYED SETTLEMENT REF088,130000,INR,2026-08-26,REF088,CREDIT
BANK089,DUNZO DIGITAL PRIVATE LIMITED DELAYED SETTLEMENT REF089,130000,INR,2026-08-28,REF089,CREDIT
BANK090,MEESHO FASHNEAR TECHNOLOGIES LTD DELAYED SETTLEMENT REF090,25000,INR,2026-09-01,REF090,CREDIT
BANK091,CARS24 SERVICES PRIVATE LIMITED PAYMENT REF091 (TDS deduction mismatch ₹500),19500.0,INR,2026-08-14,REF091,CREDIT
BANK092,SPINNY VALUEDRIVE TECHNOLOGIES LTD PAYMENT REF092 (2% withholding tax discrepancy),44100.0,INR,2026-08-09,REF092,CREDIT
BANK093,LENSKART SOLUTIONS PRIVATE LIMITED PAYMENT REF093 (Customer rounded off transfer),15000.0,INR,2026-08-16,REF093,CREDIT
BANK094,PHARMEASY API HOLDINGS LIMITED PAYMENT REF094 (Short payment / dispute deduction),80000.0,INR,2026-08-10,REF094,CREDIT
BANK095,TATA DIGITAL PRIVATE LIMITED PAYMENT REF095 (Customer slight overpayment),35000.0,INR,2026-08-12,REF095,CREDIT
BANK096,JIO PLATFORMS LIMITED PAYMENT REF096 (Partial payment received),11000.0,INR,2026-08-17,REF096,CREDIT
BANK097,AIRTEL DIGITAL LIMITED PAYMENT REF097 (2% tax deducted at source),66150.0,INR,2026-08-10,REF097,CREDIT
BANK098,VODAFONE IDEA ENTERPRISE SOLUTIONS PAYMENT REF098 (Short payment received),28500.0,INR,2026-08-12,REF098,CREDIT
BANK099,ITC INFOTECH INDIA LIMITED PAYMENT REF099,112000,INR,2026-08-09,REF099,CREDIT
BANK100,ITC INFOTECH INDIA LIMITED DUPLICATE PAYMENT REF099,112000,INR,2026-08-10,REF099,CREDIT
BANK101,COGNIZANT TECHNOLOGY SOLUTIONS LTD PAYMENT REF100,74000,INR,2026-08-08,REF100,CREDIT
BANK102,COGNIZANT TECHNOLOGY SOLUTIONS LTD DUPLICATE PAYMENT REF100,74000,INR,2026-08-09,REF100,CREDIT
BANK103,ABC PRIVATE LIMITED PAYMENT REF101,35000,INR,2026-08-20,REF101,CREDIT
BANK104,ABC PRIVATE LIMITED DUPLICATE PAYMENT REF101,35000,INR,2026-08-21,REF101,CREDIT
BANK105,RAVI ENTERPRISES PRIVATE LIMITED PAYMENT REF102,74000,INR,2026-08-10,REF102,CREDIT
BANK106,RAVI ENTERPRISES PRIVATE LIMITED DUPLICATE PAYMENT REF102,74000,INR,2026-08-11,REF102,CREDIT
BANK107,APEX GLOBAL TECHNOLOGIES PVT LTD PAYMENT REF103,91000,INR,2026-08-19,REF103,CREDIT
BANK108,APEX GLOBAL TECHNOLOGIES PVT LTD DUPLICATE PAYMENT REF103,91000,INR,2026-08-20,REF103,CREDIT
BANK109,RELIANCE RETAIL VENTURES LIMITED DIRECT RTGS PAYMENT REF107,16500,INR,2026-08-06,REF107,CREDIT
BANK110,MAHINDRA LOGISTICS SOLUTIONS LTD DIRECT RTGS PAYMENT REF108,49000,INR,2026-08-05,REF108,CREDIT
BANK111,PAYU NODAL PAYOUT REF109 NET SETTLEMENT,48820.0,INR,2026-08-09,REF109,CREDIT
BANK112,RAZORPAY NODAL PAYOUT REF110 NET SETTLEMENT,73230.0,INR,2026-08-16,REF110,CREDIT
BANK113,STRIPE NODAL PAYOUT REF111 NET SETTLEMENT,97640.0,INR,2026-08-12,REF111,CREDIT
BANK114,RAZORPAY NODAL PAYOUT REF112 NET SETTLEMENT,31244.8,INR,2026-08-17,REF112,CREDIT
BANK115,ZOMATO MEDIA PRIVATE LIMITED BULK PAYMENT TRF,25000.0,INR,2026-08-14,GENERIC_TRANSFER,CREDIT
BANK116,ZOMATO MEDIA PRIVATE LIMITED BULK PAYMENT TRF,25000.0,INR,2026-08-14,GENERIC_TRANSFER,CREDIT
BANK117,FRESHWORKS TECHNOLOGIES PVT LTD BULK PAYMENT TRF,48000.0,INR,2026-08-14,GENERIC_TRANSFER,CREDIT
BANK118,FRESHWORKS TECHNOLOGIES PVT LTD BULK PAYMENT TRF,48000.0,INR,2026-08-14,GENERIC_TRANSFER,CREDIT
BANK119,TECH MAHINDRA SOLUTIONS LIMITED PAYMENT REF711_TYPO,38000.0,INR,2026-08-20,REF711_TYPO,CREDIT
BANK120,ZOMATO MEDIA PRIVATE LIMITED PAYMENT REF811_ERR,64000.0,INR,2026-08-12,REF811_ERR,CREDIT
BANK121,INWARD FOREX REMITTANCE SWIGGY BUNDL TECHNOLOGIES PVT LTD USD 1200.0 REF119,100200.0,INR,2026-08-21,REF119,CREDIT
BANK122,INWARD FOREX REMITTANCE FLIPKART INTERNET PRIVATE LIMITED EUR 1500.0 REF120,138000.0,INR,2026-08-15,REF120,CREDIT
