invoice_id,customer_id,customer_name,invoice_number,amount,currency,invoice_date,due_date,reference,status
INV025,CUST025,Razorpay Software Private Limited,2026-025,115000,INR,2026-08-07,2026-08-21,REF025,PAID
INV026,CUST026,Freshworks Technologies Pvt Ltd,2026-026,150000,INR,2026-08-04,2026-08-18,REF026,PAID
INV027,CUST027,Zoho Corporation Private Limited,2026-027,12500,INR,2026-08-04,2026-08-18,REF027,PAID
INV028,CUST028,Pine Labs Private Limited,2026-028,89000,INR,2026-08-05,2026-08-19,REF028,PAID
INV029,CUST029,Policybazaar Insurance Brokers Ltd,2026-029,225000,INR,2026-08-15,2026-08-29,REF029,PAID
INV030,CUST030,PhonePe India Private Limited,2026-030,48000,INR,2026-08-11,2026-08-25,REF030,PAID
INV031,CUST031,MakeMyTrip India Private Limited,2026-031,115000,INR,2026-08-03,2026-08-17,REF031,PAID
INV032,CUST032,Ola ANI Technologies Private Limited,2026-032,48000,INR,2026-08-12,2026-08-26,REF032,PAID
INV033,CUST033,PayU Payments Private Limited,2026-033,62000,INR,2026-08-12,2026-08-26,REF033,PAID
INV034,CUST034,CRED Dreamplug Technologies Ltd,2026-034,225000,INR,2026-08-07,2026-08-21,REF034,PAID
INV035,CUST035,Groww Nextbillion Technology Ltd,2026-035,35000,INR,2026-08-09,2026-08-23,REF035,PAID
INV036,CUST036,Zerodha Broking Limited,2026-036,12500,INR,2026-08-14,2026-08-28,REF036,PAID
INV037,CUST037,BigBasket Supermarket Grocery Ltd,2026-037,35000,INR,2026-08-13,2026-08-27,REF037,PAID
INV038,CUST038,Blinkit Commerce Private Limited,2026-038,225000,INR,2026-08-02,2026-08-16,REF038,PAID
INV039,CUST039,Dunzo Digital Private Limited,2026-039,225000,INR,2026-08-08,2026-08-22,REF039,PAID
INV040,CUST040,Meesho Fashnear Technologies Ltd,2026-040,150000,INR,2026-08-14,2026-08-28,REF040,PAID
INV041,CUST041,Cars24 Services Private Limited,2026-041,24000,INR,2026-08-11,2026-08-25,REF041,PAID
INV042,CUST042,Spinny Valuedrive Technologies Ltd,2026-042,75000,INR,2026-08-02,2026-08-16,REF042,PAID
INV043,CUST043,Lenskart Solutions Private Limited,2026-043,35000,INR,2026-08-08,2026-08-22,REF043,PAID
INV044,CUST044,Pharmeasy API Holdings Limited,2026-044,62000,INR,2026-08-09,2026-08-23,REF044,PAID
INV045,CUST045,Tata Digital Private Limited,2026-045,24000,INR,2026-08-14,2026-08-28,REF045,PAID
INV046,CUST046,Jio Platforms Limited,2026-046,150000,INR,2026-08-10,2026-08-24,REF046,PAID
INV047,CUST047,Airtel Digital Limited,2026-047,75000,INR,2026-08-13,2026-08-27,REF047,PAID
INV048,CUST048,Vodafone Idea Enterprise Solutions,2026-048,150000,INR,2026-08-15,2026-08-29,REF048,PAID
INV049,CUST049,ITC Infotech India Limited,2026-049,75000,INR,2026-08-08,2026-08-22,REF049,PAID
INV050,CUST050,Cognizant Technology Solutions Ltd,2026-050,75000,INR,2026-08-15,2026-08-29,REF050,PAID
INV051,CUST001,ABC Private Limited,2026-051,12500,INR,2026-08-04,2026-08-18,REF051,PAID
INV052,CUST002,Ravi Enterprises Private Limited,2026-052,24000,INR,2026-08-12,2026-08-26,REF052,PAID
INV053,CUST003,Apex Global Technologies Pvt Ltd,2026-053,150000,INR,2026-08-13,2026-08-27,REF053,PAID
INV054,CUST004,Zenith Logistics Solutions Limited,2026-054,115000,INR,2026-08-09,2026-08-23,REF054,PAID
INV055,CUST005,Tata Consultancy Services Limited,2026-055,150000,INR,2026-08-14,2026-08-28,REF055,PAID
INV056,CUST006,Infosys BPM Private Limited,2026-056,48000,INR,2026-08-15,2026-08-29,REF056,PAID
INV057,CUST007,Reliance Retail Ventures Limited,2026-057,48000,INR,2026-08-12,2026-08-26,REF057,PAID
INV058,CUST008,Mahindra Logistics Solutions Ltd,2026-058,75000,INR,2026-08-08,2026-08-22,REF058,PAID
INV059,CUST009,Larsen and Toubro Infotech Ltd,2026-059,24000,INR,2026-08-04,2026-08-18,REF059,PAID
INV060,CUST010,Wipro Digital Solutions Pvt Ltd,2026-060,75000,INR,2026-08-01,2026-08-15,REF060,PAID
INV061,CUST011,HCL Technologies India Pvt Ltd,2026-061,48000,INR,2026-08-10,2026-08-24,REF061,PAID
INV062,CUST012,Bharat Heavy Electricals Limited,2026-062,24000,INR,2026-08-12,2026-08-26,REF062,PAID
INV063,CUST013,Sun Pharmaceutical Industries Ltd,2026-063,48000,INR,2026-08-02,2026-08-16,REF063,PAID
INV064,CUST014,Godrej Consumer Products Limited,2026-064,24000,INR,2026-08-09,2026-08-23,REF064,PAID
INV065,CUST015,Adani Ports and SEZ Private Limited,2026-065,115000,INR,2026-08-04,2026-08-18,REF065,PAID
INV066,CUST066,ABC Private Limited,2026-066,142000,INR,2026-08-17,2026-08-31,REF066,PAID
INV067,CUST067,Ravi Enterprises Private Limited,2026-067,78000,INR,2026-08-06,2026-08-20,REF067,PAID
INV068,CUST068,Apex Global Technologies Pvt Ltd,2026-068,32000,INR,2026-08-04,2026-08-18,REF068,PAID
INV069,CUST069,Zenith Logistics Solutions Limited,2026-069,78000,INR,2026-08-08,2026-08-22,REF069,PAID
INV070,CUST070,Tata Consultancy Services Limited,2026-070,78000,INR,2026-08-16,2026-08-30,REF070,PAID
INV071,CUST071,Infosys BPM Private Limited,2026-071,142000,INR,2026-08-13,2026-08-27,REF071,PAID
INV072,CUST072,Reliance Retail Ventures Limited,2026-072,18000,INR,2026-08-09,2026-08-23,REF072,PAID
INV073,CUST073,Mahindra Logistics Solutions Ltd,2026-073,18000,INR,2026-08-06,2026-08-20,REF073,PAID
INV074,CUST074,Larsen and Toubro Infotech Ltd,2026-074,96000,INR,2026-08-10,2026-08-24,REF074,PAID
INV075,CUST075,Wipro Digital Solutions Pvt Ltd,2026-075,32000,INR,2026-08-07,2026-08-21,REF075,PAID
INV076,CUST076,HCL Technologies India Pvt Ltd,2026-076,18000,INR,2026-08-10,2026-08-24,REF076,PAID
INV077,CUST077,Sun Pharmaceutical Industries Ltd,2026-077,18000,INR,2026-08-13,2026-08-27,REF077,PAID
INV078,CUST078,Godrej Consumer Products Limited,2026-078,18000,INR,2026-08-17,2026-08-31,REF078,PAID
INV079,CUST079,Adani Ports and SEZ Private Limited,2026-079,78000,INR,2026-08-10,2026-08-24,REF079,PAID
INV080,CUST080,Bajaj Finserv Direct Limited,2026-080,78000,INR,2026-08-17,2026-08-31,REF080,PAID
INV081,CUST031,MakeMyTrip India Private Limited,2026-081,88000,INR,2026-08-01,2026-08-15,REF081,PAID
INV082,CUST032,Ola ANI Technologies Private Limited,2026-082,88000,INR,2026-08-03,2026-08-17,REF082,PAID
INV083,CUST033,PayU Payments Private Limited,2026-083,130000,INR,2026-08-06,2026-08-20,REF083,PAID
INV084,CUST034,CRED Dreamplug Technologies Ltd,2026-084,42000,INR,2026-08-03,2026-08-17,REF084,PAID
INV085,CUST035,Groww Nextbillion Technology Ltd,2026-085,130000,INR,2026-08-06,2026-08-20,REF085,PAID
INV086,CUST036,Zerodha Broking Limited,2026-086,68000,INR,2026-08-01,2026-08-15,REF086,PAID
INV087,CUST037,BigBasket Supermarket Grocery Ltd,2026-087,88000,INR,2026-08-05,2026-08-19,REF087,PAID
INV088,CUST038,Blinkit Commerce Private Limited,2026-088,130000,INR,2026-08-01,2026-08-15,REF088,PAID
INV089,CUST039,Dunzo Digital Private Limited,2026-089,130000,INR,2026-08-01,2026-08-15,REF089,PAID
INV090,CUST040,Meesho Fashnear Technologies Ltd,2026-090,25000,INR,2026-08-05,2026-08-19,REF090,PAID
INV091,CUST091,Cars24 Services Private Limited,2026-091,20000.0,INR,2026-08-13,2026-08-27,REF091,PARTIAL_PAID
INV092,CUST092,Spinny Valuedrive Technologies Ltd,2026-092,45000.0,INR,2026-08-05,2026-08-19,REF092,PARTIAL_PAID
INV093,CUST093,Lenskart Solutions Private Limited,2026-093,15800.0,INR,2026-08-13,2026-08-27,REF093,PARTIAL_PAID
INV094,CUST094,Pharmeasy API Holdings Limited,2026-094,82000.0,INR,2026-08-07,2026-08-21,REF094,PARTIAL_PAID
INV095,CUST095,Tata Digital Private Limited,2026-095,34500.0,INR,2026-08-08,2026-08-22,REF095,PARTIAL_PAID
INV096,CUST096,Jio Platforms Limited,2026-096,12000.0,INR,2026-08-14,2026-08-28,REF096,PARTIAL_PAID
INV097,CUST097,Airtel Digital Limited,2026-097,67500.0,INR,2026-08-09,2026-08-23,REF097,PARTIAL_PAID
INV098,CUST098,Vodafone Idea Enterprise Solutions,2026-098,29000.0,INR,2026-08-11,2026-08-25,REF098,PARTIAL_PAID
INV099,CUST049,ITC Infotech India Limited,2026-099,112000,INR,2026-08-08,2026-08-22,REF099,PAID
INV100,CUST050,Cognizant Technology Solutions Ltd,2026-100,74000,INR,2026-08-07,2026-08-21,REF100,PAID
INV101,CUST001,ABC Private Limited,2026-101,35000,INR,2026-08-19,2026-09-02,REF101,PAID
INV102,CUST002,Ravi Enterprises Private Limited,2026-102,74000,INR,2026-08-09,2026-08-23,REF102,PAID
INV103,CUST003,Apex Global Technologies Pvt Ltd,2026-103,91000,INR,2026-08-18,2026-09-01,REF103,PAID
INV104,CUST104,Zenith Logistics Solutions Limited,2026-104,49000,INR,2026-08-11,2026-08-25,REF104,OVERDUE
INV105,CUST105,Tata Consultancy Services Limited,2026-105,95000,INR,2026-08-02,2026-08-16,REF105,PENDING
INV106,CUST106,Infosys BPM Private Limited,2026-106,95000,INR,2026-08-06,2026-08-20,REF106,UNPAID
INV107,CUST107,Reliance Retail Ventures Limited,2026-107,16500,INR,2026-08-04,2026-08-18,REF107,PAID
INV108,CUST108,Mahindra Logistics Solutions Ltd,2026-108,49000,INR,2026-08-03,2026-08-17,REF108,PAID
INV109,CUST109,Larsen and Toubro Infotech Ltd,2026-109,50000.0,INR,2026-08-07,2026-08-21,REF109,PAID
INV110,CUST110,Wipro Digital Solutions Pvt Ltd,2026-110,75000.0,INR,2026-08-14,2026-08-28,REF110,PAID
INV111,CUST111,HCL Technologies India Pvt Ltd,2026-111,100000.0,INR,2026-08-10,2026-08-24,REF111,PAID
INV112,CUST112,Bharat Heavy Electricals Limited,2026-112,32000.0,INR,2026-08-15,2026-08-29,REF112,PAID
INV113,CUST113,Zomato Media Private Limited,2026-113,25000.0,INR,2026-08-12,2026-08-26,REF113,PAID
INV114,CUST114,Zomato Media Private Limited,2026-114,25000.0,INR,2026-08-12,2026-08-26,REF114,PAID
INV115,CUST115,Freshworks Technologies Pvt Ltd,2026-115,48000.0,INR,2026-08-12,2026-08-26,REF115,PAID
INV116,CUST116,Freshworks Technologies Pvt Ltd,2026-116,48000.0,INR,2026-08-12,2026-08-26,REF116,PAID
INV117,CUST117,Tech Mahindra Solutions Limited,2026-117,38000.0,INR,2026-08-18,2026-09-01,REF117,PAID
INV118,CUST118,Zomato Media Private Limited,2026-118,64000.0,INR,2026-08-10,2026-08-24,REF118,PAID
INV119,CUST119,Swiggy Bundl Technologies Pvt Ltd,2026-119,1200.0,USD,2026-08-18,2026-09-01,REF119,PAID
INV120,CUST120,Flipkart Internet Private Limited,2026-120,1500.0,EUR,2026-08-12,2026-08-26,REF120,PAID
